LanguageIC,Entropy,LongestWord,SignatureNasty,SignatureSuperNasty,
0.044501848,5.08014965,36,0,0,0
0.035718797,5.298525577,68,0,0,0
0.030433072,5.288135645,52,0,0,0
0.033775671,5.31248028,205,0,0,0
0.0319873,5.277099922,164,0,0,0
0.031079655,5.319609914,99,0,0,0
0.033755017,5.206053664,48,0,0,0
0.03332232,5.356036876,161,0,0,0
0.030349288,5.407387877,55,0,0,0
0.044876071,5.191835431,70,0,0,0
0.034187349,5.329481387,78,0,0,0
0.033702804,5.335315208,78,0,0,0
0.033450108,5.195953841,44,0,0,0
0.031047191,5.310705338,68,0,0,0
0.031156374,5.305145434,68,0,0,0
0.033745903,5.304602888,99,0,0,0
0.035356545,5.261483526,102,0,0,0
0.035027241,5.263935845,78,0,0,0
0.029140722,5.072506005,29,0,0,0
0.031950212,5.239831195,78,0,0,0
0.03646077,5.248285995,69,0,0,0
0.041793655,5.095326144,40,0,0,0
0.030736936,5.46056998,59,0,0,0
0.029180214,5.603213222,93,0,0,0
0.031156168,5.302891338,63,0,0,0
0.033274014,5.281952441,74,0,0,0
0.036187015,5.251890781,74,0,0,0
0.030484241,5.335756615,63,0,0,0
0.031002171,5.320187397,63,0,0,0
0.033913335,5.321381202,72,0,0,0
0.027603484,5.5168253,72,0,0,0
0.031615601,5.239118168,59,0,0,0
0.033210198,5.227029858,59,0,0,0
0.03036764,5.342731499,95,0,0,0
0.030531153,5.319561275,99,0,0,0
0.031347752,5.289657164,99,0,0,0
0.031266328,5.253972516,59,0,0,0
0.027898976,5.560794191,119,0,0,0
0.029237587,5.49817523,138,0,0,0
0.036793504,5.309224253,62,0,0,0
0.037022952,5.378041645,50,0,0,0
0.029737382,5.394661,115,0,0,0
0.02940822,5.314674784,56,0,0,0
0.037741151,5.250741227,45,0,0,0
0.038000706,5.134944199,36,0,0,0
0.028838365,5.55259892,122,0,0,0
0.033708,5.115400863,85,0,0,0
0.03386191,5.423337633,101,0,0,0
0.032557098,5.388057353,58,0,0,0
0.03331351,5.191297017,35,0,0,0
0.034753697,5.158976347,35,0,0,0
0.033342246,5.322320073,57,0,0,0
0.034674607,5.327523951,57,0,0,0
0.030590778,5.34884619,59,0,0,0
0.031263561,5.278368654,67,0,0,0
0.03158287,5.260885391,67,0,0,0
0.036232282,5.274530216,92,0,0,0
0.032412711,5.22772306,67,0,0,0
0.034038135,5.352000243,69,0,0,0
0.025859747,5.435814301,29,0,0,0
0.031585874,5.313525354,88,0,0,0
0.031781402,5.313827973,88,0,0,0
0.031554368,5.280805341,57,0,0,0
0.032554486,5.203947548,56,0,0,0
0.038111237,5.298609409,63,0,0,0
0.032276193,5.221831253,75,0,0,0
0.033024946,5.183655222,56,0,0,0
0.0322064,5.2814028,66,0,0,0
0.048189396,5.354541393,79,10,0,0
0.03735671,5.336275966,63,0,0,0
0.034518626,5.306357313,86,0,0,0
0.027730888,5.564609367,99,0,0,0
0.035579764,5.247819009,82,0,0,0
0.035433647,5.257336786,77,0,0,0
0.03255724,5.254624096,99,0,0,0
0.032725699,5.361464789,78,0,0,0
0.033022925,5.346756206,78,0,0,0
0.037345767,5.280166381,99,0,0,0
0.029295511,5.668613181,66,0,0,0
0.030863702,5.398419696,38,0,0,0
0.030962205,5.561048188,38,0,0,0
0.031154636,5.274703243,23,0,0,0
0.053756196,4.803501985,47,0,0,0
0.036340852,4.814790567,20,0,0,0
0.0293727,5.824307729,63,0,0,0
0.032109365,5.316649061,129,0,0,0
0.031687888,5.343862539,202,0,0,0
0.033757296,5.246207865,96,0,0,0
0.037210107,4.780279347,20,0,0,0
0.035489221,4.849872858,20,0,0,0
0.028680794,5.65351762,110,0,0,0
0.031645589,5.459933053,110,1,0,0
0.029887014,5.484431426,91,0,0,0
0.02770521,5.724654176,88,0,0,0
0.035568941,5.138178136,63,0,0,0
0.029173826,5.37046125,82,0,0,0
0.030522007,5.321969757,90,0,0,0
0.028933904,5.441336089,106,0,0,0
0.034331146,5.357034904,91,0,0,0
0.032712711,5.382420045,84,0,0,0
0.035726514,5.242637059,58,0,0,0
0.035871468,5.389418604,112,0,0,0
0.032421225,5.412112115,110,1,0,0
0.032987432,5.503061849,88,2,0,0
0.0309095,5.410802965,47,0,0,0
0.030110663,5.362111079,99,0,0,0
0.030272583,5.419810929,94,1,0,0
0.031257849,5.27242339,65,0,0,0
0.030622139,5.483922568,209,1,0,0
0.033774831,5.526392843,66,0,0,0
0.024279482,5.639131626,42,0,0,0
0.028947442,5.348642935,56,0,0,0
0.027389168,5.401455233,63,0,0,0
0.029976166,5.346241765,152,0,0,0
0.034115405,5.126264456,57,0,0,0
0.028839138,5.367407372,62,0,0,0
0.030415376,5.294449389,51,0,0,0
0.031342367,5.326922214,274,0,0,0
0.030773454,5.276458341,51,0,0,0
0.031895078,5.247370575,57,0,0,0
0.03140315,5.157217012,53,0,0,0
0.029483545,5.335311348,62,0,0,0
0.032397346,5.22341979,67,0,0,0
0.033080839,5.246580293,92,0,0,0
0.03168774,5.512669427,112,0,0,0
0.031729288,5.417476421,61,0,0,0
0.026013658,5.886252277,127,0,0,0
0.032569565,5.443679325,63,0,0,0
0.029695584,5.592392693,39,0,0,0
0.031578947,5.245749718,23,0,0,0
0.050307302,4.8821611,47,0,0,0
0.041457286,4.832103828,20,0,0,0
0.021136348,6.049609054,102,0,0,0
0.037643873,5.414675183,23,0,0,0
0.031718312,5.290337154,123,0,0,0
0.033529004,5.253368372,123,0,0,0
0.032886731,5.264041835,86,0,0,0
0.036689652,5.18631225,51,0,0,0
0.035938904,4.780279347,20,0,0,0
0.034686689,5.212846803,70,0,0,0
0.031156728,5.621567103,142,1,0,0
0.03558539,5.37820453,218,0,0,0
0.028203096,5.597816642,99,0,0,0
0.030946591,5.559581392,84,0,0,0
0.028764883,5.520544591,64,0,0,0
0.032213167,5.281381983,67,0,0,0
0.040349704,5.572534856,53,0,0,0
0.036759504,5.333251345,81,0,0,0
0.032239533,5.433108515,98,1,0,0
0.02966275,5.515374161,98,0,0,0
0.028776167,5.581117502,81,0,0,0
0.033495927,5.332854813,66,0,0,0
0.032004401,5.256993215,60,0,0,0
0.031219443,5.476576913,68,0,0,0
0.027742676,5.92541501,125,0,0,0
0.036779454,5.227191439,50,0,0,0
0.02970025,5.72986602,133,1,0,0
0.034176906,5.469033076,72,0,0,0
0.039468751,5.232590753,77,0,0,0
0.032094257,5.410447027,42,0,0,0
0.030751891,5.635944242,83,0,0,0
0.028970501,5.591418587,41,0,0,0
0.035477027,5.096224462,52,0,0,0
0.032987456,5.329827603,69,0,0,0
0.038692226,4.906401842,32,0,0,0
0.038375025,4.896464309,34,0,0,0
0.02242099,5.318095334,23,0,0,0
0.029631401,5.541839087,41,0,0,0
0.033830261,5.697416482,74,0,0,0
0.018704075,5.965079554,32,0,0,0
0.045224512,4.906236171,28,0,0,0
0.03670003,5.278810196,28,0,0,0
0.033428541,4.883078072,23,0,0,0
0.018966998,5.949996319,32,0,0,0
0.034814035,5.658016143,74,0,0,0
0.034506919,5.570795503,54,0,0,0
0.035326962,5.03885544,40,0,0,0
0.03749692,4.95530576,39,0,0,0
0.046289337,4.919610945,56,0,0,0
0.018966998,5.949996319,32,0,0,0
0.032634033,4.669146221,20,0,0,0
0.030571568,5.283842991,70,0,0,0
0.018768461,5.953576892,32,0,0,0
0.045224512,4.906236171,28,0,0,0
0.036283348,5.278810196,28,0,0,0
0.032855737,5.095248072,49,0,0,0
0.034500604,4.876721095,38,0,0,0
0.033175807,5.121233613,51,0,0,0
0.019012708,5.945629946,32,0,0,0
0.032294679,5.491837069,51,0,0,0
0.032778368,5.456037087,54,0,0,0
0.043533166,4.892127069,45,0,0,0
0.038899824,4.746374919,47,0,0,0
0.041824925,4.881827702,47,0,0,0
0.018768461,5.953576892,32,0,0,0
0.031878954,5.865320725,46,0,0,0
0.031125185,5.812659063,46,0,0,0
0.032654451,5.290958217,54,0,0,0
0.030379583,5.310053076,32,0,0,0
0.037797575,5.112296353,120,0,0,0
0.019085335,5.936745648,32,0,0,0
0.04034528,5.641310121,36,0,0,0
0.035931903,5.703596367,36,0,0,0
0.03077783,5.314043728,80,0,0,0
0.042089866,4.821588855,27,0,0,0
0.033350567,5.200676591,112,0,0,0
0.019045574,5.944837214,32,0,0,0
0.037524098,5.627038095,50,0,0,0
0.034120516,5.675362395,63,0,0,0
0.033385087,5.246510697,61,0,0,0
0.041155923,4.876285615,47,0,0,0
0.032668471,5.300121206,52,3,0,0
0.032732219,5.037590003,52,0,0,0
0.018704075,5.965079554,32,0,0,0
0.030816722,5.596109887,41,0,0,0
0.027535683,5.787408423,41,0,0,0
0.030838603,5.11801265,45,0,0,0
0.030599235,5.004329608,25,0,0,0
0.038454217,4.538517288,14,0,0,0
0.018728219,5.961719136,32,0,0,0
0.043349077,5.417029526,39,0,0,0
0.037399286,5.589623601,39,0,0,0
0.031343477,5.347877031,151,0,0,0
0.035125126,4.719683173,32,0,0,0
0.019085335,5.936745648,32,0,0,0
0.038774437,5.464588083,36,0,0,0
0.035456042,5.566624198,36,0,0,0
0.030588191,5.306209268,71,0,0,0
0.03251208,5.2932557,28,0,0,0
0.031690141,4.578589916,21,0,0,0
0.018843988,5.956592457,32,0,0,0
0.042827945,5.031803921,24,0,0,0
0.035466586,5.368924647,32,0,0,0
0.035802298,5.112009078,40,0,0,0
0.018704075,5.965079554,32,0,0,0
0.032634033,4.669146221,20,0,0,0
0.036425129,4.935670463,21,0,0,0
0.043539823,4.69663907,16,0,0,0
0.032366956,5.402704691,60,0,0,0
0.018843988,5.956592457,32,0,0,0
0.039118571,5.703299818,38,0,0,0
0.035386287,5.761000996,38,0,0,0
0.042854059,4.629291811,36,0,0,0
0.040174857,4.840094095,47,0,0,0
0.018704075,5.965079554,32,0,0,0
0.043244657,5.507372201,44,0,0,0
0.039654733,5.545048503,44,0,0,0
0.034748905,5.121228431,68,0,0,0
0.030298549,5.570304356,81,0,0,0
0.018843988,5.956592457,32,0,0,0
0.037675627,5.489543685,58,0,0,0
0.035969212,5.52207861,58,0,0,0
0.039165361,4.845933442,23,0,0,0
0.018728219,5.961719136,32,0,0,0
0.033725873,5.534975121,53,0,0,0
0.019230769,5.060975804,17,0,0,0
0.0310749,5.360186638,17,0,0,0
0.033085165,5.495392668,62,0,0,0
0.032108766,5.225984523,61,0,0,0
0.018984877,5.941331844,32,0,0,0
0.03125,4.669146221,20,0,0,0
0.036775731,5.118498858,64,0,0,0
0.018945522,5.951774058,32,0,0,0
0.040475007,5.421317315,35,0,0,0
0.036557748,5.611567872,35,0,0,0
0.033678289,5.112317673,53,0,0,0
0.039493074,4.680540223,14,0,0,0
0.039135447,5.19195789,66,0,0,0
0.018986028,5.946675019,32,0,0,0
0.032634033,4.669146221,20,0,0,0
0.036409846,5.002471305,27,0,0,0
0.018945522,5.951774058,32,0,0,0
0.03125,4.669146221,20,0,0,0
0.040973673,4.801774926,42,0,0,0
0.018728219,5.961719136,32,0,0,0
0.046068762,5.174160197,32,0,0,0
0.019230769,5.060975804,17,0,0,0
0.0310749,5.360186638,17,0,0,0
0.038898874,5.390683275,32,0,0,0
0.03588353,5.023130269,48,0,0,0
0.019068131,5.942555949,32,0,0,0
0.046586901,5.193838097,32,0,0,0
0.019230769,5.060975804,17,0,0,0
0.0310749,5.360186638,17,0,0,0
0.039683829,5.384256451,67,0,0,0
0.033749947,5.147648373,72,0,0,0
0.035429483,4.804695027,40,0,0,0
0.038613861,4.82160041,11,0,0,0
0.039532944,4.547090358,17,0,0,0
0.018615544,5.977053119,32,0,0,0
0.03125,4.669146221,20,0,0,0
0.032177901,5.30119703,108,0,0,0
0.037425743,4.58519673,31,0,0,0
0.019078156,5.945900554,32,0,0,0
0.040871637,5.196478775,28,0,0,0
0.034838178,5.43985221,28,0,0,0
0.033022121,5.192723079,48,0,0,0
0.019155114,5.926750658,32,0,0,0
0.030602682,5.715121498,100,0,0,0
0.037580704,5.074669327,42,0,0,0
0.041441523,5.128655204,58,1,0,0
0.038797133,5.040393581,61,0,0,0
0.034846823,5.286446645,57,0,0,0
0.035608417,5.402948301,90,0,0,0
0.02886555,5.475215216,66,0,0,0
0.031841726,5.236847818,96,0,0,0
0.02929898,5.48546898,49,0,0,0
0.033623457,5.310280551,90,0,0,0
0.029773869,5.456553177,49,0,0,0
0.030811312,5.395478602,111,0,0,0
0.033128842,5.503353986,110,0,0,0
0.031381025,5.33401401,70,0,0,0
0.027464685,5.50292552,108,0,0,0
0.030227278,5.381709633,90,0,0,0
0.033094412,5.223896132,96,0,0,0
0.034210961,5.208552749,92,0,0,0
0.034274321,5.20886608,92,0,0,0
0.057275644,5.725085965,125,0,0,0
0.030990633,5.338859122,128,0,0,0
0.032738367,5.397392867,128,0,0,0
0.032279724,5.336769082,48,0,0,0
0.033671496,5.304905821,161,0,0,0
0.035448058,5.223342396,161,0,0,0
0.032764453,5.330935866,96,0,0,0
0.036038221,5.262186812,96,0,0,0
0.035943327,5.220449445,80,0,0,0
0.032799973,5.315059144,161,0,0,0
0.03427245,5.275507627,99,0,0,0
0.029649026,5.476078034,49,0,0,0
0.031276767,5.383172343,68,0,0,0
0.032233871,5.34451309,68,0,0,0
0.031768519,5.301253978,99,0,0,0
0.034240974,5.206871319,99,0,0,0
0.030058068,5.43749764,49,0,0,0
0.030604745,5.418785237,45,0,0,0
0.029676012,5.381053052,99,0,0,0
0.064291871,4.722739343,26,0,0,0
0.038242417,5.272218135,137,0,0,0
0.032338747,5.44226688,96,2,0,0
0.032163082,5.327965712,66,0,0,0
0.027112467,5.654012423,121,1,0,0
0.031967288,5.341376635,77,0,0,0
0.032150278,5.340121875,77,0,0,0
0.031249242,5.318638027,99,0,0,0
0.032283155,5.289754606,68,0,0,0
0.032441559,5.302751691,65,0,0,0
0.031221468,5.293004405,99,0,0,0
0.02851876,5.617756821,111,0,0,0
0.030989013,5.455143538,111,0,0,0
0.028060503,5.519369605,111,0,0,0
0.030912503,5.430628329,111,0,0,0
0.020914004,5.89126223,111,1,0,0
0.029372314,5.580678631,41,0,0,0
0.02242099,5.318095334,23,0,0,0
0.030081357,5.531814563,41,0,0,0
0.031476684,5.671513471,74,0,0,0
0.035642131,5.062148254,52,0,0,0
0.033705855,5.279386021,59,0,0,0
0.038554439,4.896775954,35,0,0,0
0.038289261,4.903470224,34,0,0,0
0.018883824,5.922137465,29,0,0,0
0.033865363,5.652908875,74,0,0,0
0.03383498,5.561857602,54,0,0,0
0.034961919,5.058055204,40,0,0,0
0.038656709,4.919409979,39,0,0,0
0.046289337,4.919610945,56,0,0,0
0.018883824,5.922137465,29,0,0,0
0.03570059,5.358168082,41,0,0,0
0.034567092,5.378202728,46,0,0,0
0.039449505,4.951653927,45,0,0,0
0.038899824,4.746374919,47,0,0,0
0.041824925,4.881827702,47,0,0,0
0.019006899,5.911682679,29,0,0,0
0.039147235,5.31524461,50,0,0,0
0.033849644,5.472025926,43,0,0,0
0.027484161,5.59313249,61,0,0,0
0.042160517,4.802471167,47,0,0,0
0.018574134,5.93223493,29,0,0,0
0.043767856,5.413051345,36,0,0,0
0.037557325,5.589057793,36,0,0,0
0.03171873,5.307786857,59,0,0,0
0.019006899,5.911682679,29,0,0,0
0.038774437,5.464588083,36,0,0,0
0.035456042,5.566624198,36,0,0,0
0.030104813,5.339478159,71,0,0,0
0.03251208,5.2932557,28,0,0,0
0.031690141,4.578589916,21,0,0,0
0.031690141,4.578589916,21,0,0,0
0.018869739,5.954193212,32,0,0,0
0.036775616,5.704094394,38,0,0,0
0.033441138,5.789013329,38,0,0,0
0.042854059,4.629291811,36,0,0,0
0.04021824,4.811167531,47,0,0,0
0.018739121,5.935676506,29,0,0,0
0.045497478,5.083981465,30,0,0,0
0.039813813,5.282096523,33,0,0,0
0.036048991,4.998964866,61,0,0,0
0.018574134,5.93223493,29,0,0,0
0.046068762,5.174160197,32,0,0,0
0.019230769,5.060975804,17,0,0,0
0.0310749,5.360186638,17,0,0,0
0.038898874,5.390683275,32,0,0,0
0.036951993,5.004290512,61,0,0,0
0.019049502,5.908389024,29,0,0,0
0.046471524,5.198163726,32,0,0,0
0.019230769,5.060975804,17,0,0,0
0.0310749,5.360186638,17,0,0,0
0.040373904,5.375053347,43,0,0,0
0.035146719,5.081127415,72,0,0,0
0.035429483,4.804695027,40,0,0,0
0.038613861,4.82160041,11,0,0,0
0.039532944,4.547090358,17,0,0,0
0.028595947,5.409796685,23,0,0,0
0.049427472,4.937953437,51,0,0,0
0.036657682,4.742548665,20,0,0,0
0.028759295,5.917598253,108,0,0,0
0.03056943,5.36309265,134,0,0,0
0.031085704,5.34398734,134,0,0,0
0.031190657,5.385740622,96,0,0,0
0.033674237,5.32514707,96,0,0,0
0.035791739,5.227354067,81,0,0,0
0.033455692,5.251684476,91,0,0,0
0.031411938,5.18409762,30,0,0,0
0.032192939,5.297283888,78,0,0,0
0.030272063,5.358733455,62,0,0,0
0.030822254,5.302874232,44,0,0,0
0.031268669,5.26725832,72,0,0,0
0.032748538,5.221299486,45,0,0,0
0.035652475,4.781489948,20,0,0,0
0.031010009,5.490431263,73,0,0,0
0.028054806,5.683636615,66,0,0,0
0.034653614,5.380790464,50,0,0,0
0.028374253,5.411942137,23,0,0,0
0.04749105,5.102001016,55,0,0,0
0.035679134,4.869693812,20,0,0,0
0.034849279,5.727437051,39,0,0,0
0.029963088,5.321706209,60,0,0,0
0.02919721,5.394717365,107,0,0,0
0.029518181,5.37145571,107,0,0,0
0.02978167,5.362937376,60,0,0,0
0.03062195,5.357663597,60,0,0,0
0.030549739,5.316473461,52,0,0,0
0.03065585,5.321089217,52,0,0,0
0.032975045,5.199414503,34,0,0,0
0.034506186,5.106589019,42,0,0,0
0.034399225,4.904444744,20,0,0,0
0.030766514,5.543738957,165,0,0,0
0.029995172,5.725382148,256,0,0,0
0.03090385,5.632287243,92,0,0,0
0.027316455,5.70341138,141,0,0,0
0.029586512,5.598651962,107,5,0,0
0.029655906,5.608995712,97,0,0,0
0.028784506,5.571463526,97,0,0,0
0.035493468,5.21775203,44,0,0,0
0.032457231,5.461805313,83,0,0,0
0.02704798,5.939134121,105,1,0,0
0.031950235,5.536028047,65,0,0,0
0.022730945,5.83840894,111,1,0,0
0.028781739,5.648009156,51,0,0,0
0.027883318,5.626736471,64,0,0,0
0.123386323,5.362652128,113,1,0,0
0.107929895,5.342115011,174,0,0,0
0.089918919,5.607769163,143,2,0,0
0.021509517,6.274326952,360,2,0,0
